event_date,event_time,event_timestamp,space_id,occupancy,arrival_date,arrival_time
2025-03-08,2025-03-08 21:07:46.000000,1741468066000,8445bccd-5c70-48c6-b889-8209f407c4db,unoccupied,2025-03-08,2025-03-08 21:27:02.103000
2025-03-08,2025-03-08 21:09:37.000000,1741468177000,b933c534-3f83-4142-bc78-080848b9625c,unoccupied,2025-03-08,2025-03-08 21:27:05.041000
2025-03-08,2025-03-08 21:05:45.000000,1741467945000,24d1fccd-bafe-43a5-9473-5cbff03879b5,unoccupied,2025-03-08,2025-03-08 21:27:05.400000
2025-03-08,2025-03-08 21:03:21.000000,1741467801000,fd32a4cd-9687-4c48-a6c8-536865a4eafb,unoccupied,2025-03-08,2025-03-08 21:27:05.478000
2025-03-08,2025-03-08 21:10:13.000000,1741468213000,07b0074e-550e-4e62-8e7d-e588ecf5f724,unoccupied,2025-03-08,2025-03-08 21:34:00.933000
2025-03-08,2025-03-08 21:12:32.000000,1741468352000,0c9010e7-6657-4748-befa-c60d7c834503,unoccupied,2025-03-08,2025-03-08 21:34:00.948000
2025-03-08,2025-03-08 21:13:07.000000,1741468387000,95a578f1-b83b-44b5-8dcd-912726804178,unoccupied,2025-03-08,2025-03-08 21:34:01.808000
2025-03-08,2025-03-08 21:09:33.000000,1741468173000,08a27159-f72b-4664-a7aa-f3c40f50f8f9,unoccupied,2025-03-08,2025-03-08 21:34:05.808000
2025-03-08,2025-03-08 21:10:55.000000,1741468255000,9d17ba27-afd2-4194-8ce0-85f94e79200d,unoccupied,2025-03-08,2025-03-08 21:34:05.808000
2025-03-08,2025-03-08 21:14:09.000000,1741468449000,bbc7e562-5356-47d7-bb83-1427c8cb9092,unoccupied,2025-03-08,2025-03-08 21:34:05.917000
2025-03-08,2025-03-08 21:10:33.000000,1741468233000,99e41847-ae43-452a-afeb-ce8f009b3806,unoccupied,2025-03-08,2025-03-08 21:34:06.058000
2025-03-08,2025-03-08 21:15:39.000000,1741468539000,1fec504a-d587-4063-9fcf-3631909f0dd2,unoccupied,2025-03-08,2025-03-08 21:37:05.746000
2025-03-08,2025-03-08 21:20:02.000000,1741468802000,2a937c01-714a-41a9-bc56-c34aa1715c0d,unoccupied,2025-03-08,2025-03-08 21:38:03.215000
2025-03-08,2025-03-08 21:20:03.000000,1741468803000,04f6cb1f-5954-4d30-9696-16fd48e06b6e,unoccupied,2025-03-08,2025-03-08 21:38:05.090000
2025-03-08,2025-03-08 21:15:10.000000,1741468510000,ee82f6b7-a864-4a6f-b93f-027d9b0308a7,unoccupied,2025-03-08,2025-03-08 21:38:05.308000
2025-03-08,2025-03-08 21:17:25.000000,1741468645000,068214c5-0f2e-41ea-8c72-7f3aa8e24181,unoccupied,2025-03-08,2025-03-08 21:38:05.511000
2025-03-08,2025-03-08 21:20:00.000000,1741468800000,ab42d9b8-7196-477d-be80-4ec4185dd813,unoccupied,2025-03-08,2025-03-08 21:46:05.560000
2025-03-08,2025-03-08 21:25:54.000000,1741469154000,c3b7e1af-4d3d-49d3-8e0f-2968777243fa,unoccupied,2025-03-08,2025-03-08 21:53:08.030000
2025-03-08,2025-03-08 21:41:38.000000,1741470098000,52b56fe5-fa1c-4fe4-a8e1-aa7e95c2366f,unoccupied,2025-03-08,2025-03-08 21:56:09.343000
2025-03-08,2025-03-08 21:27:17.000000,1741469237000,005dbd50-65b3-4287-ae7e-63cb4bc34161,unoccupied,2025-03-08,2025-03-08 22:02:02.297000
2025-03-08,2025-03-08 21:45:36.000000,1741470336000,ca21ea03-5162-496c-a579-b2319cfe452b,unoccupied,2025-03-08,2025-03-08 22:12:02.564000
2025-03-08,2025-03-08 21:56:46.000000,1741471006000,f491250e-5739-40f9-b12f-76a557093fbb,unoccupied,2025-03-08,2025-03-08 22:12:04.595000
2025-03-08,2025-03-08 21:46:18.000000,1741470378000,0ab5fa1e-4c79-447a-be12-19dbc1e0970a,unoccupied,2025-03-08,2025-03-08 22:14:00.908000
2025-03-08,2025-03-08 21:57:24.000000,1741471044000,0dd14012-f98d-4370-b00d-7d7a8d5d5018,unoccupied,2025-03-08,2025-03-08 22:14:00.939000
2025-03-08,2025-03-08 21:57:06.000000,1741471026000,68efd5bc-299b-4be2-b8ca-5cbe6d15efde,unoccupied,2025-03-08,2025-03-08 22:14:03.299000
2025-03-08,2025-03-08 22:02:34.000000,1741471354000,964f93a0-3dc1-42c1-9b54-fa2a7622587a,unoccupied,2025-03-08,2025-03-08 22:14:03.502000
2025-03-08,2025-03-08 22:05:44.000000,1741471544000,983eefa4-eb50-4950-82a7-f4c2630f906b,unoccupied,2025-03-08,2025-03-08 22:14:05.205000
2025-03-08,2025-03-08 22:12:28.000000,1741471948000,8a664205-d15c-4041-9cae-37a83c9ede62,unoccupied,2025-03-08,2025-03-08 22:14:09.002000
